close,high,low,trade_count,open,volume,vwap,date,bollinger bands upper band,bollinger bands lower band,bollinger bands signals,dual thrust upperbound,dual thrust lowerbound,dual thrust signals,HA open,HA close,HA high,HA low,HA signals,awesome ma1,awesome ma2,awesome signals,macd ma1,macd ma2,macd signals,parabolic sar,sar signals,RSI,RSI signals
999.11,1040.7,976.4,1124239,979.94,40787949,1009.399387,2022-03-23,979.261032,733.162968,-1,891.695000,788.765000,1.000000,925.620540,999.037500,1040.700000,925.620540,0.000000,926.260780,866.776463,0.000000,944.672170,848.136654,0.000000,48.320000,1.000000,49.679832,0
1013.92,1024.49,988.8,684000,1009.73,23756993,1009.000798,2022-03-24,1005.620626,728.118374,-1,915.640000,827.560000,1.000000,962.329020,1009.235000,1024.490000,962.329020,0.000000,957.518000,869.655434,0.000000,967.754780,857.609988,0.000000,48.320000,1.000000,49.563483,0
1010.64,1021.7999,997.3201,591085,1008.0,21175103,1007.613677,2022-03-25,1026.891852,726.924148,0,963.170000,847.610000,1.000000,985.782010,1009.440000,1021.799900,985.782010,0.000000,981.906000,872.617934,0.000000,982.049853,866.354560,0.000000,48.320000,1.000000,45.679754,0
1091.84,1097.8799,1053.6,1109118,1065.1,35642519,1079.839344,2022-03-28,1066.011419,709.945581,-1,995.835000,846.485000,1.000000,997.611005,1077.104975,1097.879900,997.611005,0.000000,1012.059990,877.044419,0.000000,1018.646569,879.239442,0.000000,48.320000,1.000000,48.247477,0
1099.57,1114.77,1073.11,831063,1107.99,25381550,1096.818884,2022-03-29,1100.789591,698.687409,0,1076.275000,911.685000,1.000000,1037.357990,1098.860000,1114.770000,1037.357990,0.000000,1038.886990,882.438391,0.000000,1045.621046,891.829760,0.000000,48.320000,1.000000,52.467882,0
1093.99,1113.95,1084.0,597501,1091.17,20431173,1098.428985,2022-03-30,1129.075641,691.811359,0,1094.969950,903.250050,0.000000,1068.108995,1095.777500,1113.950000,1068.108995,0.000000,1056.971990,887.316040,0.000000,1061.744031,903.381774,0.000000,48.320000,1.000000,49.850209,0
1077.6,1103.1399,1076.641,509543,1094.57,17280959,1088.840374,2022-03-31,1150.435144,694.282856,0,1100.616100,927.223900,0.000000,1081.943248,1087.987725,1103.139900,1076.641000,0.000000,1073.621080,892.305318,0.000000,1067.029354,913.337101,0.000000,48.320000,1.000000,44.843746,0
1084.59,1094.75,1066.64,546383,1081.15,18520119,1081.43318,2022-04-01,1170.116281,699.231719,0,1083.905000,937.375000,1.000000,1084.965486,1081.782500,1094.750000,1066.640000,0.000000,1087.848080,898.110171,0.000000,1072.882903,923.122981,0.000000,48.320000,1.000000,41.793776,0
1145.45,1149.91,1072.53,859375,1089.38,28012251,1122.63345,2022-04-04,1196.666271,706.768729,0,1151.610000,1032.070000,0.000000,1083.373993,1114.317500,1149.910000,1072.530000,0.000000,1094.944090,905.027966,0.000000,1097.071935,935.827382,0.000000,48.320000,1.000000,46.588744,0
1091.26,1152.87,1087.3,859309,1136.3,27191070,1113.873914,2022-04-05,1209.881026,720.239974,0,1184.615000,1014.525000,0.000000,1098.845747,1116.932500,1152.870000,1087.300000,0.000000,1100.173090,911.260210,0.000000,1095.134623,944.709246,0.000000,48.320000,1.000000,51.256389,0
1045.76,1079.0,1027.7,963154,1073.47,29995068,1047.44032,2022-04-06,1216.415166,732.384834,0,1155.575000,1032.405000,0.000000,1107.889123,1056.482500,1107.889123,1027.700000,0.000000,1091.048090,915.364035,0.000000,1078.676416,950.483575,0.000000,48.320000,1.000000,54.741468,0
1057.26,1076.59,1021.5401,771755,1052.39,26482353,1051.328849,2022-04-07,1221.170977,749.525023,0,1132.985000,1022.215000,0.000000,1082.185812,1051.945025,1082.185812,1021.540100,0.000000,1082.883010,919.857126,-1.000000,1071.537610,956.585085,0.000000,48.320000,1.000000,58.207640,0
1025.49,1048.44,1022.435,578908,1043.32,18763593,1034.362216,2022-04-08,1215.474199,778.235801,0,1136.655000,1032.525000,-1.000000,1067.065418,1034.921250,1067.065418,1022.435000,1.000000,1073.831510,924.951171,0.000000,1056.188407,960.522508,0.000000,48.320000,1.000000,59.756711,0
975.93,1008.4681,974.64,756595,980.4,19990460,987.835214,2022-04-11,1197.702133,816.963867,0,1168.435000,1122.465000,-1.000000,1050.993334,984.859525,1050.993334,974.640000,1.000000,1049.898320,929.734615,0.000000,1029.435605,961.402936,0.000000,48.320000,1.000000,66.019988,0
986.95,1021.1921,976.6001,615652,997.64,22602533,997.084339,2022-04-12,1181.151273,852.020727,0,1130.665000,1051.855000,-1.000000,1017.926430,995.595550,1021.192100,976.600100,0.000000,1025.660540,935.645387,0.000000,1015.273736,962.862769,0.000000,48.320000,1.000000,66.416526,0
1022.37,1026.24,973.097,521652,981.075,18801401,1005.113007,2022-04-13,1167.791172,883.594828,0,1085.165000,1006.355000,0.000000,1006.760990,1000.695500,1026.240000,973.097000,0.000000,1014.924240,942.952107,-1.000000,1017.639158,966.263182,0.000000,48.320000,1.000000,67.592322,0
